team1,team2,team1_won_toss,team1_bat_first,team1_field_first,team1_home,team2_won_toss,team2_bat_first,team2_field_first,team2_home,margin_type_runs,margin_type_wickets
West Indies,Australia,True,0,1,0,False,1,0,1,0,1
West Indies,Sri Lanka,False,0,1,0,True,0,1,0,1,0
Sri Lanka,West Indies,True,0,1,0,False,0,1,0,0,1
West Indies,Australia,False,0,1,0,True,1,0,1,1,0
Australia,Sri Lanka,True,1,0,1,False,0,1,0,0,1
South Africa,England,True,1,0,1,False,0,1,0,1,0
South Africa,England,True,1,0,1,False,0,1,0,0,1
Australia,Sri Lanka,True,1,0,1,False,0,1,0,1,0
England,South Africa,True,0,1,0,False,1,0,1,0,1
Sri Lanka,West Indies,False,0,1,0,True,0,1,0,1,0
England,South Africa,True,0,1,0,False,1,0,1,0,1
Australia,Sri Lanka,True,1,0,1,False,0,1,0,0,1
England,South Africa,False,0,1,0,True,1,0,1,0,1
South Africa,England,True,1,0,1,False,0,1,0,1,0
South Africa,England,True,1,0,1,False,0,1,0,1,0
New Zealand,Zimbabwe,True,1,0,1,False,0,1,0,1,0
Zimbabwe,New Zealand,True,0,1,0,False,1,0,1,0,1
Zimbabwe,New Zealand,False,0,1,0,True,1,0,1,1,0
New Zealand,England,False,0,1,0,True,0,1,0,1,0
South Africa,United Arab Emirates,False,0,1,0,True,0,1,0,1,0
Zimbabwe,West Indies,True,0,1,0,False,0,1,0,0,1
New Zealand,Netherlands,True,0,1,0,False,0,1,0,1,0
Kenya,India,False,0,1,0,True,1,0,1,0,1
United Arab Emirates,England,True,0,1,0,False,0,1,0,0,1
New Zealand,South Africa,True,0,1,0,False,0,1,0,0,1
Zimbabwe,Sri Lanka,True,0,1,0,False,1,0,1,0,1
West Indies,India,True,0,1,0,False,1,0,1,0,1
England,Netherlands,True,0,1,0,False,0,1,0,1,0
Australia,Kenya,False,0,1,0,True,0,1,0,1,0
United Arab Emirates,Pakistan,False,0,1,0,True,1,0,1,0,1
South Africa,England,True,0,1,0,False,0,1,0,1,0
Netherlands,Pakistan,True,0,1,0,False,1,0,1,0,1
Kenya,Zimbabwe,False,0,1,0,True,0,1,0,0,1
New Zealand,United Arab Emirates,False,0,1,0,True,0,1,0,1,0
Australia,India,True,0,1,0,False,1,0,1,1,0
Kenya,West Indies,False,0,1,0,True,0,1,0,1,0
Pakistan,South Africa,True,1,0,1,False,0,1,0,0,1
Zimbabwe,Australia,True,0,1,0,False,0,1,0,0,1
Netherlands,United Arab Emirates,False,0,1,0,True,0,1,0,0,1
India,Sri Lanka,False,1,0,1,True,0,1,0,0,1
England,Pakistan,True,0,1,0,False,1,0,1,0,1
Australia,West Indies,True,0,1,0,False,0,1,0,0,1
South Africa,Netherlands,True,0,1,0,False,0,1,0,1,0
India,Zimbabwe,False,1,0,1,True,0,1,0,1,0
Sri Lanka,Kenya,False,1,0,1,True,0,1,0,1,0
Pakistan,New Zealand,False,1,0,1,True,0,1,0,1,0
England,Sri Lanka,True,0,1,0,False,0,1,0,0,1
India,Pakistan,True,1,0,1,False,0,1,0,1,0
West Indies,South Africa,True,0,1,0,False,0,1,0,1,0
New Zealand,Australia,True,0,1,0,False,0,1,0,0,1
Australia,Sri Lanka,False,0,1,0,True,0,1,0,0,1
New Zealand,West Indies,False,0,1,0,True,1,0,1,0,1
West Indies,New Zealand,False,1,0,1,True,0,1,0,0,1
New Zealand,West Indies,True,0,1,0,False,1,0,1,0,1
Sri Lanka,Pakistan,False,0,1,0,True,0,1,0,1,0
India,Sri Lanka,True,0,1,0,False,0,1,0,1,0
New Zealand,West Indies,False,0,1,0,True,0,1,0,1,0
India,Pakistan,False,0,1,0,True,0,1,0,0,1
New Zealand,West Indies,False,0,1,0,True,1,0,1,0,1
Pakistan,Sri Lanka,False,0,1,0,True,0,1,0,1,0
Pakistan,India,False,0,1,0,True,0,1,0,1,0
South Africa,Pakistan,True,0,1,0,False,0,1,0,1,0
Sri Lanka,West Indies,True,0,1,0,False,1,0,1,1,0
South Africa,India,True,0,1,0,False,0,1,0,1,0
India,Pakistan,True,0,1,0,False,0,1,0,1,0
Pakistan,South Africa,True,0,1,0,False,0,1,0,0,1
India,South Africa,True,0,1,0,False,0,1,0,0,1
South Africa,India,True,0,1,0,False,0,1,0,1,0
England,India,True,1,0,1,False,0,1,0,0,0
India,England,False,0,1,0,True,1,0,1,0,1
India,England,True,0,1,0,False,1,0,1,0,1
Australia,Zimbabwe,True,0,1,0,False,0,1,0,1,0
India,Sri Lanka,True,0,1,0,False,1,0,1,0,1
Pakistan,England,True,0,1,0,False,1,0,1,0,1
Australia,Sri Lanka,True,0,1,0,False,1,0,1,0,1
England,Pakistan,False,1,0,1,True,0,1,0,1,0
Zimbabwe,India,False,0,1,0,True,0,1,0,0,1
England,Pakistan,True,1,0,1,False,0,1,0,0,1
Zimbabwe,Sri Lanka,False,0,1,0,True,1,0,1,0,1
India,Australia,False,0,1,0,True,0,1,0,0,1
Sri Lanka,Australia,False,1,0,1,True,0,1,0,1,0
Pakistan,India,False,0,1,0,True,0,1,0,0,1
India,Pakistan,False,0,1,0,True,0,1,0,0,1
India,Pakistan,True,0,1,0,False,0,1,0,1,0
Pakistan,India,False,0,1,0,True,0,1,0,1,0
Pakistan,India,True,0,1,0,False,0,1,0,1,0
Kenya,Sri Lanka,False,1,0,1,True,0,1,0,0,1
South Africa,Pakistan,False,0,1,0,True,0,1,0,1,0
South Africa,Sri Lanka,True,0,1,0,False,0,1,0,0,1
Kenya,Pakistan,True,1,0,1,False,0,1,0,0,1
South Africa,Kenya,True,0,1,0,False,1,0,1,1,0
Pakistan,Sri Lanka,False,0,1,0,True,0,1,0,1,0
Pakistan,South Africa,True,0,1,0,False,0,1,0,0,1
South Africa,India,True,0,1,0,False,1,0,1,1,0
Australia,South Africa,True,0,1,0,False,0,1,0,0,1
Australia,India,True,0,1,0,False,1,0,1,0,1
South Africa,India,False,0,1,0,True,1,0,1,1,0
Australia,South Africa,True,0,1,0,False,0,1,0,0,1
India,South Africa,True,1,0,1,False,0,1,0,0,1
Zimbabwe,Pakistan,True,0,1,0,False,1,0,1,0,1
Australia,South Africa,True,0,1,0,False,0,1,0,0,1
Zimbabwe,Pakistan,True,0,1,0,False,1,0,1,0,1
Pakistan,Zimbabwe,True,1,0,1,False,0,1,0,1,0
India,Australia,False,1,0,1,True,0,1,0,1,0
India,South Africa,True,1,0,1,False,0,1,0,1,0
New Zealand,Sri Lanka,False,0,1,0,True,0,1,0,1,0
Sri Lanka,Pakistan,False,0,1,0,True,0,1,0,1,0
New Zealand,Pakistan,True,0,1,0,False,0,1,0,0,1
New Zealand,Sri Lanka,True,0,1,0,False,0,1,0,0,0
Sri Lanka,Pakistan,True,0,1,0,False,0,1,0,0,1
New Zealand,Pakistan,False,0,1,0,True,0,1,0,0,1
Pakistan,New Zealand,False,0,1,0,True,0,1,0,1,0
Pakistan,New Zealand,True,1,0,1,False,0,1,0,1,0
West Indies,Australia,True,0,1,0,False,1,0,1,0,1
Pakistan,New Zealand,True,1,0,1,False,0,1,0,1,0
West Indies,Australia,True,0,1,0,False,1,0,1,0,1
Pakistan,New Zealand,True,1,0,1,False,0,1,0,0,1
India,South Africa,True,1,0,1,False,0,1,0,1,0
Pakistan,Australia,True,0,1,0,False,1,0,1,1,0
England,Zimbabwe,False,0,1,0,True,1,0,1,0,1
Pakistan,West Indies,False,0,1,0,True,0,1,0,0,1
Australia,Pakistan,True,1,0,1,False,0,1,0,0,1
Zimbabwe,England,False,1,0,1,True,0,1,0,1,0
Pakistan,West Indies,False,0,1,0,True,0,1,0,0,1
Zimbabwe,England,False,1,0,1,True,0,1,0,1,0
Australia,West Indies,True,1,0,1,False,0,1,0,0,1
Pakistan,Australia,True,0,1,0,False,1,0,1,1,0
Pakistan,West Indies,False,0,1,0,True,0,1,0,0,1
Australia,West Indies,True,1,0,1,False,0,1,0,0,1
West Indies,Pakistan,False,0,1,0,True,0,1,0,0,1
Pakistan,Australia,True,0,1,0,False,1,0,1,0,1
South Africa,India,True,1,0,1,False,0,1,0,1,0
Zimbabwe,South Africa,True,0,1,0,False,1,0,1,0,1
Zimbabwe,India,True,0,1,0,False,0,1,0,0,0
Zimbabwe,South Africa,True,0,1,0,False,1,0,1,0,1
Zimbabwe,South Africa,True,0,1,0,False,1,0,1,0,1
India,South Africa,True,0,1,0,False,1,0,1,0,1
India,South Africa,True,0,1,0,False,1,0,1,0,1
India,Zimbabwe,True,0,1,0,False,0,1,0,0,1
Zimbabwe,India,False,0,1,0,True,0,1,0,0,1
South Africa,India,True,1,0,1,False,0,1,0,1,0
India,Zimbabwe,False,0,1,0,True,1,0,1,0,1
New Zealand,England,True,1,0,1,False,0,1,0,0,1
New Zealand,England,True,1,0,1,False,0,1,0,0,1
New Zealand,England,True,1,0,1,False,0,1,0,0,0
New Zealand,England,False,1,0,1,True,0,1,0,1,0
New Zealand,England,True,1,0,1,False,0,1,0,1,0
New Zealand,Sri Lanka,False,1,0,1,True,0,1,0,0,1
New Zealand,Sri Lanka,False,1,0,1,True,0,1,0,1,0
Australia,South Africa,False,0,1,0,True,1,0,1,0,1
South Africa,Australia,False,1,0,1,True,0,1,0,0,1
South Africa,Australia,False,1,0,1,True,0,1,0,1,0
Zimbabwe,Sri Lanka,False,0,1,0,True,0,1,0,0,1
Sri Lanka,Pakistan,False,0,1,0,True,0,1,0,1,0
Australia,South Africa,True,0,1,0,False,1,0,1,1,0
Pakistan,Zimbabwe,True,0,1,0,False,0,1,0,1,0
Sri Lanka,Pakistan,True,0,1,0,False,0,1,0,1,0
Zimbabwe,Sri Lanka,True,0,1,0,False,0,1,0,1,0
Australia,South Africa,True,0,1,0,False,1,0,1,1,0
Pakistan,Zimbabwe,True,0,1,0,False,0,1,0,1,0
South Africa,Australia,True,1,0,1,False,0,1,0,0,1
Pakistan,Sri Lanka,True,0,1,0,False,0,1,0,0,1
South Africa,Australia,False,1,0,1,True,0,1,0,1,0
India,West Indies,True,0,1,0,False,1,0,1,0,1
West Indies,India,False,1,0,1,True,0,1,0,0,1
West Indies,India,False,1,0,1,True,0,1,0,1,0
India,West Indies,False,0,1,0,True,1,0,1,0,1
New Zealand,Pakistan,False,0,1,0,True,0,1,0,1,0
Pakistan,Sri Lanka,True,0,1,0,False,0,1,0,1,0
New Zealand,India,True,0,1,0,False,1,0,1,0,1
India,Sri Lanka,True,1,0,1,False,0,1,0,0,1
Sri Lanka,New Zealand,True,0,1,0,False,0,1,0,1,0
Pakistan,India,True,0,1,0,False,1,0,1,1,0
Australia,England,False,0,1,0,True,1,0,1,0,1
Sri Lanka,Pakistan,True,0,1,0,False,0,1,0,1,0
Australia,England,False,0,1,0,True,1,0,1,0,1
Australia,England,False,0,1,0,True,1,0,1,0,1
Sri Lanka,Pakistan,True,0,1,0,False,0,1,0,1,0
West Indies,Sri Lanka,False,1,0,1,True,0,1,0,1,0
Sri Lanka,Pakistan,False,1,0,1,True,0,1,0,1,0
Pakistan,Bangladesh,True,0,1,0,False,0,1,0,1,0
India,Sri Lanka,False,0,1,0,True,1,0,1,0,1
Sri Lanka,Bangladesh,False,1,0,1,True,0,1,0,1,0
Bangladesh,India,False,0,1,0,True,0,1,0,0,1
India,Sri Lanka,True,0,1,0,False,1,0,1,0,1
Sri Lanka,India,False,1,0,1,True,0,1,0,1,0
India,Sri Lanka,False,0,1,0,True,1,0,1,0,1
Sri Lanka,India,False,1,0,1,True,0,1,0,1,0
India,Pakistan,False,0,1,0,True,0,1,0,1,0
Pakistan,India,True,0,1,0,False,0,1,0,0,1
India,Pakistan,False,0,1,0,True,0,1,0,1,0
Pakistan,India,False,0,1,0,True,0,1,0,0,1
India,Pakistan,False,0,1,0,True,0,1,0,0,1
India,Pakistan,True,0,1,0,False,1,0,1,0,1
Pakistan,India,True,1,0,1,False,0,1,0,0,1
Zimbabwe,New Zealand,True,1,0,1,False,0,1,0,0,0
India,Pakistan,False,0,1,0,True,1,0,1,0,1
New Zealand,Zimbabwe,True,0,1,0,False,1,0,1,0,1
New Zealand,Zimbabwe,True,0,1,0,False,1,0,1,1,0
Kenya,Bangladesh,False,1,0,1,True,0,1,0,1,0
Zimbabwe,Bangladesh,True,0,1,0,False,0,1,0,1,0
Kenya,Zimbabwe,True,1,0,1,False,0,1,0,0,1
Zimbabwe,Bangladesh,True,0,1,0,False,0,1,0,1,0
Bangladesh,Kenya,True,0,1,0,False,1,0,1,0,1
Kenya,Zimbabwe,False,1,0,1,True,0,1,0,0,1
Zimbabwe,Kenya,True,0,1,0,False,1,0,1,1,0
Zimbabwe,Kenya,True,0,1,0,False,1,0,1,1,0
West Indies,Sri Lanka,False,0,1,0,True,0,1,0,0,1
South Africa,Pakistan,False,0,1,0,True,1,0,1,1,0
West Indies,South Africa,False,0,1,0,True,0,1,0,0,1
West Indies,Pakistan,False,0,1,0,True,1,0,1,0,1
Pakistan,Sri Lanka,False,1,0,1,True,0,1,0,0,1
South Africa,Sri Lanka,False,0,1,0,True,0,1,0,1,0
Sri Lanka,South Africa,False,0,1,0,True,0,1,0,0,1
South Africa,Australia,True,0,1,0,False,1,0,1,1,0
New Zealand,South Africa,False,0,1,0,True,0,1,0,1,0
New Zealand,Australia,True,0,1,0,False,1,0,1,0,1
South Africa,Australia,True,0,1,0,False,1,0,1,1,0
South Africa,New Zealand,True,0,1,0,False,0,1,0,1,0
England,India,False,0,1,0,True,0,1,0,1,0
West Indies,Pakistan,True,0,1,0,False,0,1,0,1,0
West Indies,England,True,0,1,0,False,0,1,0,0,1
India,Pakistan,True,0,1,0,False,0,1,0,0,1
England,Pakistan,True,0,1,0,False,0,1,0,1,0
West Indies,India,False,0,1,0,True,0,1,0,1,0
New Zealand,Australia,True,0,1,0,False,1,0,1,0,1
West Indies,England,True,0,1,0,False,0,1,0,0,1
Sri Lanka,India,False,0,1,0,True,1,0,1,0,1
India,Sri Lanka,True,1,0,1,False,0,1,0,0,1
South Africa,New Zealand,True,0,1,0,False,0,1,0,1,0
Bangladesh,India,False,1,0,1,True,0,1,0,0,1
India,Pakistan,False,0,1,0,True,0,1,0,1,0
Australia,South Africa,True,1,0,1,False,0,1,0,0,1
Bangladesh,Pakistan,False,1,0,1,True,0,1,0,0,1
Pakistan,India,True,0,1,0,False,0,1,0,0,1
Australia,New Zealand,True,1,0,1,False,0,1,0,1,0
India,Pakistan,True,0,1,0,False,0,1,0,0,1
South Africa,New Zealand,True,0,1,0,False,0,1,0,1,0
Pakistan,India,False,0,1,0,True,0,1,0,0,1
Australia,South Africa,True,1,0,1,False,0,1,0,0,1
Australia,New Zealand,True,1,0,1,False,0,1,0,0,1
Zimbabwe,Sri Lanka,False,0,1,0,True,1,0,1,0,1
South Africa,Australia,True,0,1,0,False,1,0,1,1,0
Zimbabwe,Sri Lanka,True,0,1,0,False,1,0,1,0,1
South Africa,Australia,True,0,1,0,False,1,0,1,0,1
Zimbabwe,Sri Lanka,True,0,1,0,False,1,0,1,0,1
Australia,South Africa,True,1,0,1,False,0,1,0,1,0
New Zealand,Zimbabwe,True,1,0,1,False,0,1,0,1,0
Zimbabwe,New Zealand,False,0,1,0,True,1,0,1,0,1
New Zealand,Australia,True,1,0,1,False,0,1,0,0,1
Australia,New Zealand,True,0,1,0,False,1,0,1,1,0
Australia,New Zealand,True,0,1,0,False,1,0,1,0,1
New Zealand,Australia,False,1,0,1,True,0,1,0,1,0
Zimbabwe,New Zealand,False,0,1,0,True,1,0,1,1,0
Zimbabwe,New Zealand,True,0,1,0,False,1,0,1,0,1
New Zealand,Zimbabwe,True,1,0,1,False,0,1,0,1,0
Zimbabwe,Pakistan,False,1,0,1,True,0,1,0,0,1
Zimbabwe,Pakistan,False,1,0,1,True,0,1,0,0,1
England,West Indies,False,0,1,0,True,1,0,1,1,0
India,Australia,True,1,0,1,False,0,1,0,1,0
England,West Indies,False,0,1,0,True,1,0,1,0,1
Australia,Zimbabwe,True,0,1,0,False,0,1,0,1,0
South Africa,Pakistan,True,1,0,1,False,0,1,0,1,0
England,West Indies,True,0,1,0,False,1,0,1,0,1
India,Zimbabwe,False,1,0,1,True,0,1,0,1,0
South Africa,Sri Lanka,True,1,0,1,False,0,1,0,1,0
England,West Indies,True,0,1,0,False,1,0,1,0,1
Australia,India,True,0,1,0,False,1,0,1,0,1
Sri Lanka,Pakistan,True,0,1,0,False,0,1,0,0,1
West Indies,England,True,1,0,1,False,0,1,0,1,0
India,Zimbabwe,False,1,0,1,True,0,1,0,1,0
Pakistan,Sri Lanka,True,0,1,0,False,0,1,0,1,0
Australia,Zimbabwe,False,0,1,0,True,0,1,0,1,0
Pakistan,South Africa,False,0,1,0,True,1,0,1,0,1
South Africa,Sri Lanka,True,1,0,1,False,0,1,0,0,1
India,Australia,True,1,0,1,False,0,1,0,0,1
Sri Lanka,Pakistan,False,0,1,0,True,0,1,0,1,0
Pakistan,South Africa,True,0,1,0,False,1,0,1,0,1
India,New Zealand,True,0,1,0,False,0,1,0,1,0
New Zealand,Australia,True,0,1,0,False,0,1,0,0,1
Sri Lanka,South Africa,False,0,1,0,True,1,0,1,0,1
Australia,India,True,0,1,0,False,0,1,0,1,0
India,New Zealand,True,0,1,0,False,0,1,0,0,1
New Zealand,Australia,True,0,1,0,False,0,1,0,0,1
Australia,India,True,0,1,0,False,0,1,0,1,0
Pakistan,South Africa,False,0,1,0,True,1,0,1,0,1
Australia,India,False,0,1,0,True,0,1,0,0,1
Bangladesh,India,False,0,1,0,True,1,0,1,0,1
Kenya,Bangladesh,True,0,1,0,False,0,1,0,0,1
Kenya,India,False,0,1,0,True,1,0,1,0,1
England,South Africa,False,1,0,1,True,0,1,0,0,1
Kenya,Bangladesh,True,0,1,0,False,0,1,0,1,0
South Africa,England,False,0,1,0,True,1,0,1,1,0
South Africa,England,True,0,1,0,False,1,0,1,0,1
Bangladesh,India,True,0,1,0,False,1,0,1,0,1
Kenya,India,True,0,1,0,False,1,0,1,1,0
Kenya,India,True,0,1,0,False,1,0,1,0,1
Sri Lanka,India,True,1,0,1,False,0,1,0,0,1
New Zealand,Sri Lanka,True,0,1,0,False,1,0,1,0,1
Sri Lanka,India,False,1,0,1,True,0,1,0,1,0
Sri Lanka,New Zealand,False,1,0,1,True,0,1,0,1,0
India,Sri Lanka,True,0,1,0,False,1,0,1,1,0
Sri Lanka,South Africa,False,0,1,0,True,0,1,0,1,0
England,Sri Lanka,False,1,0,1,True,0,1,0,1,0
South Africa,England,True,0,1,0,False,1,0,1,1,0
England,Sri Lanka,True,1,0,1,False,0,1,0,0,1
Pakistan,India,False,0,1,0,True,0,1,0,0,1
Pakistan,India,False,0,1,0,True,0,1,0,1,0
Pakistan,India,False,0,1,0,True,0,1,0,1,0
Pakistan,India,False,0,1,0,True,0,1,0,1,0
India,Pakistan,True,0,1,0,False,0,1,0,0,1
Zimbabwe,India,False,1,0,1,True,0,1,0,0,1
Zimbabwe,India,False,1,0,1,True,0,1,0,0,1
Zimbabwe,India,False,1,0,1,True,0,1,0,1,0
Zimbabwe,New Zealand,True,0,1,0,False,0,1,0,0,1
England,South Africa,True,0,1,0,False,0,1,0,0,1
New Zealand,Sri Lanka,False,0,1,0,True,0,1,0,0,1
India,Australia,False,0,1,0,True,0,1,0,1,0
West Indies,Pakistan,True,0,1,0,False,0,1,0,1,0
South Africa,Sri Lanka,False,0,1,0,True,0,1,0,1,0
India,West Indies,True,0,1,0,False,0,1,0,0,1
West Indies,South Africa,False,0,1,0,True,0,1,0,0,1
Australia,Pakistan,False,0,1,0,True,1,0,1,1,0
Sri Lanka,India,False,0,1,0,True,0,1,0,0,1
Sri Lanka,Zimbabwe,False,0,1,0,True,0,1,0,0,1
Pakistan,Australia,True,1,0,1,False,0,1,0,0,1
Zimbabwe,India,False,0,1,0,True,0,1,0,0,1
India,Sri Lanka,False,0,1,0,True,0,1,0,1,0
Pakistan,Australia,True,1,0,1,False,0,1,0,0,1
Zimbabwe,Sri Lanka,False,0,1,0,True,0,1,0,1,0
Zimbabwe,India,False,0,1,0,True,0,1,0,1,0
Zimbabwe,India,False,0,1,0,True,0,1,0,0,1
Zimbabwe,Pakistan,False,0,1,0,True,1,0,1,0,1
Pakistan,Zimbabwe,False,1,0,1,True,0,1,0,0,1
Pakistan,Zimbabwe,False,1,0,1,True,0,1,0,1,0
India,New Zealand,True,0,1,0,False,1,0,1,0,1
England,Australia,True,0,1,0,False,1,0,1,1,0
Sri Lanka,England,True,0,1,0,False,0,1,0,0,1
New Zealand,India,False,1,0,1,True,0,1,0,0,1
Sri Lanka,Australia,True,0,1,0,False,1,0,1,0,1
England,Australia,True,0,1,0,False,1,0,1,0,1
New Zealand,India,False,1,0,1,True,0,1,0,0,1
England,Australia,True,0,1,0,False,1,0,1,1,0
New Zealand,India,False,1,0,1,True,0,1,0,1,0
Sri Lanka,England,True,0,1,0,False,0,1,0,0,1
Australia,Sri Lanka,False,1,0,1,True,0,1,0,0,1
West Indies,South Africa,False,0,1,0,True,1,0,1,0,1
England,Sri Lanka,False,0,1,0,True,0,1,0,0,1
Australia,Sri Lanka,False,1,0,1,True,0,1,0,1,0
West Indies,South Africa,False,0,1,0,True,1,0,1,1,0
Australia,England,True,1,0,1,False,0,1,0,1,0
South Africa,West Indies,True,1,0,1,False,0,1,0,1,0
England,Sri Lanka,False,0,1,0,True,0,1,0,1,0
South Africa,West Indies,False,1,0,1,True,0,1,0,1,0
Australia,Sri Lanka,False,1,0,1,True,0,1,0,1,0
South Africa,West Indies,True,1,0,1,False,0,1,0,1,0
Sri Lanka,England,False,0,1,0,True,0,1,0,1,0
England,Australia,True,0,1,0,False,1,0,1,0,1
South Africa,West Indies,True,1,0,1,False,0,1,0,1,0
Australia,Sri Lanka,True,1,0,1,False,0,1,0,1,0
South Africa,West Indies,True,1,0,1,False,0,1,0,1,0
Australia,England,True,1,0,1,False,0,1,0,1,0
Australia,England,True,1,0,1,False,0,1,0,1,0
South Africa,New Zealand,False,0,1,0,True,1,0,1,0,1
New Zealand,South Africa,True,1,0,1,False,0,1,0,0,1
South Africa,New Zealand,False,0,1,0,True,1,0,1,0,1
Pakistan,Bangladesh,False,0,1,0,True,1,0,1,1,0
Pakistan,Sri Lanka,True,0,1,0,False,0,1,0,1,0
Zimbabwe,Kenya,True,0,1,0,False,0,1,0,1,0
Bangladesh,Kenya,True,1,0,1,False,0,1,0,0,1
Zimbabwe,Bangladesh,True,0,1,0,False,1,0,1,1,0
India,Sri Lanka,False,1,0,1,True,0,1,0,1,0
Zimbabwe,Kenya,True,0,1,0,False,0,1,0,1,0
Pakistan,India,True,0,1,0,False,1,0,1,1,0
Kenya,Bangladesh,True,0,1,0,False,1,0,1,1,0
Bangladesh,Zimbabwe,True,1,0,1,False,0,1,0,0,1
New Zealand,South Africa,False,1,0,1,True,0,1,0,0,1
South Africa,New Zealand,True,0,1,0,False,1,0,1,1,0
Sri Lanka,Pakistan,True,0,1,0,False,0,1,0,1,0
